Created At: 2026-09-20T11:36:20-03:00
Completed At: 2026-09-20T11:36:20-03:00
File Path: `file:///c:/Users/JOE/Documents/GitHub/financeiro-web/frontend/src/app/pages/inadimplencia/inadimplencia.component.html`
Total Lines: 1401
Total Bytes: 87208
Showing lines 1 to 800
Content truncated: showing bytes 0-46080 of 51822. To see more, call this tool again with the same line range and ContentOffset=46080.
The following code has been modified to include a line number before every line, in the format: <line_number>: <original_line>. Please note that any changes targeting the original code should remove the line number, colon, and leading space.
1: <div class="page-container">
2:   <div class="main-layout">
3: 
4:     <!-- Sidebar -->
5:     <aside class="main-sidebar" [class.collapsed]="isSidebarCollapsed">
6:       <div class="sidebar-header d-flex justify-content-end mb-3 pb-2 border-bottom">
7:         <button class="btn btn-sm text-muted sidebar-toggle" (click)="toggleSidebar()"
8:           style="background: transparent; border: none; padding: 0.25rem 0.5rem; border-radius: 6px;">
9:           <i class="fa-solid" [ngClass]="isSidebarCollapsed ? 'fa-chevron-right' : 'fa-chevron-left'"></i>
10:         </button>
11:       </div>
12: 
13:       <ul class="main-nav">
14:         <li>
15:           <button class="main-nav-link" [class.active]="activeTab === 'dashboards'" (click)="setActiveTab('dashboards')"
16:             title="Dashboards">
17:             <i class="fa-solid fa-chart-line"></i> <span class="nav-text">Dashboards</span>
18:           </button>
19:         </li>
20:         <li>
21:           <button class="main-nav-link" [class.active]="activeTab === 'pendencias'" (click)="setActiveTab('pendencias')"
22:             title="PendÃªncias">
23:             <i class="fa-solid fa-triangle-exclamation"></i> <span class="nav-text">PendÃªncias</span>
24:           </button>
25:         </li>
26:         <li>
27:           <button class="main-nav-link" [class.active]="activeTab === 'atualizacao-dados'"
28:             (click)="setActiveTab('atualizacao-dados')" title="AtualizaÃ§Ã£o de Dados">
29:             <i class="fa-solid fa-database"></i> <span class="nav-text">AtualizaÃ§Ã£o de Dados</span>
30:           </button>
31:         </li>
32:       </ul>
33:     </aside>
34: 
35:     <!-- Main Content -->
36:     <main class="main-content">
37:       <div class="tab-content custom-tab-content">
38: 
39:         <!-- Tab Dashboards -->
40:         <div class="tab-pane fade" [class.show]="activeTab === 'dashboards'" [class.active]="activeTab === 'dashboards'"
41:           role="tabpanel">
42:           <div class="config-layout">
43:             <div class="dashboard-header d-flex justify-content-between align-items-center border-bottom pt-2">
44:               <ul class="config-nav mb-0 border-bottom-0 pb-0 px-3">
45:                 <li class="config-nav-item">
46:                   <button class="config-nav-link" [class.active]="dashboardTab() === 'visao-geral'"
47:                     (click)="setDashboardTab('visao-geral')">
48:                     Visão Geral
49:                   </button>
50:                 </li>
51:                 <li class="config-nav-item">
52:                   <button class="config-nav-link" [class.active]="dashboardTab() === 'financeiro'"
53:                     (click)="setDashboardTab('financeiro')">
54:                     Financeiro
55:                   </button>
56:                 </li>
57:                 <li class="config-nav-item">
58:                   <button class="config-nav-link" [class.active]="dashboardTab() === 'logistica'"
59:                     (click)="setDashboardTab('logistica')">
60:                     Logística
61:                   </button>
62:                 </li>
63:                 <li class="config-nav-item">
64:                   <button class="config-nav-link" [class.active]="dashboardTab() === 'comercial'"
65:                     (click)="setDashboardTab('comercial')">
66:                     Comercial
67:                   </button>
68:                 </li>
69:               </ul>
70:             </div>
71:             <main class="dashboard-content px-2 pb-3 pt-0 px-md-4 pb-md-4 pt-md-1" style="flex-grow: 1;">
72:               <p class="text-muted mb-3 mt-0" style="font-size: 0.95rem;">nsolidada de pagamentos em atraso, evolução de
73:                 protestos e ranking de pendências.</p>
74: 
75:               <!-- SKELETON LOADING -->
76:               <div *ngIf="isDashboardLoading()">
77:                 <!-- SKELETON: VISÃO GERAL -->
78:                 <div *ngIf="dashboardTab() === 'visao-geral'">
79:                   <div class="dash-kpi-panel border rounded-4 p-4 mb-4 border-2">
80:                     <h5 class="fw-bold text-secondary mb-3 ms-1">Financeiro</h5>
81:                     <div class="row g-4">
82:                       <div class="col-12 col-xl-4">
83:                         <div class="dash-chart-card p-3 bg-white border rounded-3 shadow-sm"><app-skeleton type="text"
84:                             width="60%" height="18px" class="mb-3"></app-skeleton><app-skeleton type="rect" width="100%"
85:                             height="250px"></app-skeleton></div>
86:                       </div>
87:                       <div class="col-12 col-xl-4">
88:                         <div class="dash-chart-card p-3 bg-white border rounded-3 shadow-sm"><app-skeleton type="text"
89:                             width="60%" height="18px" class="mb-3"></app-skeleton><app-skeleton type="rect" width="100%"
90:                             height="250px"></app-skeleton></div>
91:                       </div>
92:                       <div class="col-12 col-xl-4">
93:                         <div class="dash-chart-card p-3 bg-white border rounded-3 shadow-sm"><app-skeleton type="text"
94:                             width="60%" height="18px" class="mb-3"></app-skeleton><app-skeleton type="rect" width="100%"
95:                             height="250px"></app-skeleton></div>
96:                       </div>
97:                     </div>
98:                   </div>
99:                   <div class="dash-kpi-panel border rounded-4 p-4 mb-4 border-2">
100:                     <h5 class="fw-bold text-secondary mb-3 ms-1">Logística</h5>
101:                     <div class="row g-4">
102:                       <div class="col-12 col-xl-6">
103:                         <div class="dash-chart-card p-3 bg-white border rounded-3 shadow-sm"><app-skeleton type="text"
104:                             width="40%" height="18px" class="mb-3"></app-skeleton><app-skeleton type="rect" width="100%"
105:                             height="250px"></app-skeleton></div>
106:                       </div>
107:                       <div class="col-12 col-xl-6">
108:                         <div class="dash-chart-card p-3 bg-white border rounded-3 shadow-sm"><app-skeleton type="text"
109:                             width="40%" height="18px" class="mb-3"></app-skeleton><app-skeleton type="rect" width="100%"
110:                             height="250px"></app-skeleton></div>
111:                       </div>
112:                     </div>
113:                   </div>
114:                   <div class="dash-kpi-panel border rounded-4 p-4 mb-4 border-2">
115:                     <h5 class="fw-bold text-secondary mb-3 ms-1">Comercial</h5>
116:                     <div class="row g-4">
117:                       <div class="col-12 col-xl-6">
118:                         <div class="dash-chart-card p-3 bg-white border rounded-3 shadow-sm"><app-skeleton type="text"
119:                             width="50%" height="18px" class="mb-3"></app-skeleton><app-skeleton type="rect" width="100%"
120:                             height="280px"></app-skeleton></div>
121:                       </div>
122:                       <div class="col-12 col-xl-6">
123:                         <div class="row g-4">
124:                           <div class="col-12">
125:                             <div
126:                               class="dash-chart-card p-3 bg-white border rounded-3 shadow-sm d-flex flex-column align-items-center justify-content-center"
127:                               style="height: 120px;"><app-skeleton type="text" width="60%" height="14px"
128:                                 class="mb-2"></app-skeleton><app-skeleton type="rect" width="40%"
129:                                 height="32px"></app-skeleton></div>
130:                           </div>
131:                           <div class="col-12">
132:                             <div class="dash-chart-card p-3 bg-white border rounded-3 shadow-sm" style="height: 140px;">
133:                               <app-skeleton type="text" width="40%" height="18px"
134:                                 class="mb-3"></app-skeleton><app-skeleton type="rect" width="100%"
135:                                 height="80px"></app-skeleton></div>
136:                           </div>
137:                         </div>
138:                       </div>
139:                     </div>
140:                   </div>
141:                 </div>
142: 
143:                 <!-- SKELETON: FINANCEIRO -->
144:                 <div *ngIf="dashboardTab() === 'financeiro'">
145:                   <div class="dash-kpi-panel border rounded-4 p-4 mb-4 border-2">
146:                     <h5 class="fw-bold text-secondary mb-3 ms-1">Atual</h5>
147:                     <div class="row g-4">
148:                       <div class="col-12 col-md-6">
149:                         <div
150:                           class="dash-chart-card p-4 bg-white border rounded-3 shadow-sm d-flex flex-column justify-content-center">
151:                           <app-skeleton type="text" width="40%" height="14px" class="mb-2"></app-skeleton>
152:                           <app-skeleton type="rect" width="50%" height="32px"
153:                             [style.border-radius]="'8px'"></app-skeleton>
154:                         </div>
